code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ur,eu,ga,mt,gl
BEL,32.54,13.02,60.29,,,,58.22,,,,,,,,,,,,,6.13,,,,,,,,,,,,
DNK,60.84,28.99,6.4,6.82,,,,,,,,,,,,,99.64,,,,,,,,,,,,,,,
DEU,38.27,91.29,12.97,,,,,,10.65,,,,,,,,,,,,,5.43,,,,,,,,,,
GRC,49.61,3.93,8.78,,,,,,2.17,,,,98.44,,,,,,,,,,,,,,,,,,,
ESP,19.67,,5.89,93.07,,,,,,,,,,,,18.18,,,,,,,,,,,,,,6.35,,
FRA,33.18,5.35,96.48,14.23,,,,,,,,,,,,,,,,4.36,,,,,,,,,,,,
IRL,97.56,5.73,14.18,,,6.08,,,,,,,,,,,,,,,,,,,,,,23.39,,,,
ITA,19.43,2.35,11.83,8.9,97.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,26.36,51.37,58.37,,,,,,,,,31.49,,,,,,,,,,,,,,,74.25,,,,,
NLD,44.57,31.72,11.86,2.77,,,98.62,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,27.62,,12.00,7.23,,,,,,,,93.81,,,,,,,,,,,,,,2.46,,,,,,
GBR,90.32,5.26,15.33,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,
AUT,52.35,98.27,10.5,4.00,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,59.93,17.22,6.74,12.09,,,,,,,,,,94.93,,,,,,,,,,,,,,,,,,
FIN,55.1,13.73,5.17,,,,,,,,,,,36.08,,,,,96.19,,,,,,,,,,,,,
CYP,55.62,,4.79,,,,,3.84,4.9,,,,97.27,,,,,,,,,,,,,,,,,,,
CZE,20.28,11.21,,,,,,,2.76,98.39,,,,,,,,6.57,,,,,,,,,,,,,,
EST,34.18,8.42,,,,,,,42.65,,,,,,,,,,11.55,,,,,,,84.7,,,,,,
HUN,23.87,12.2,2.32,0.94,,,,,,,98.93,,,,,,,,,,,,,,,,,,,,,
LVA,42.03,10.93,,,,1.34,,,65.62,,,,,,,,,,,,,,,84.37,,,,,,,,
LTU,36.7,11.02,,,,7.2,,,44.2,,,,,,,,,,,,96.77,,,,,,,,,,,
MLT,68.47,3.73,9.92,,38.81,,,,,,,,,,,,,,,,,,,,,,,,94.02,,,
POL,34.36,16.83,4.11,,,95.9,,,6.92,,,,,,,,,,,,,,,,,,,,,,,
SVK,24.84,17.03,,,,,,,,26.89,8.35,,,,,,,96.05,,,,,,,,,,,,,,
SVN,46.74,26.59,,,10.11,,,,,,,,,,,,,,,,,,96.84,,31.59,,,,,,,
BGR,27.65,4.15,,,,,,,5.58,,,,,,96.47,,,,,,,6.3,,,,,,,,,,
ROU,32.98,,15.33,,8.49,,,94.04,,,9.43,,,,,,,,,,,,,,,,,,,,,
