code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ga,mt,ga,ur,eu,cy
BEL,20.67,13.65,59.05,,5,,66.66,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,45.28,26.9,4.8,,,,,,,,,,,6.11,,,98.81,,,,,,,,,,,,,,,,
DEU,22.66,95.65,5.74,,2.28,,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,
GRC,13.92,2.19,4.94,,2.62,,,,,,,,99.73,,,,,,,,,,,,,,,,,,,,
ESP,3.68,,3.54,94.93,,,,,,,,,,,,12.25,,,,,,,,,,,,,,5.95,,,
FRA,14.39,3.95,95.52,6.21,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,97.82,,4.83,1.82,1.09,,,,,,,,,,,,,,,,,,,,,,,12.16,,,,,
ITA,8.09,,5.88,3.07,97.52,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,
LUX,25.96,52.14,55.11,,12.13,,,,,,,,,,,,,,,,,,,,,,75.34,,,,,,
NLD,29.55,23.62,17.79,2.48,,,96.78,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,4.28,,7.16,3.99,,,,,,1.87,,96.15,,,,,,,,,,,,,,,,,,,,,
GBR,97.19,4.22,15.6,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
AUT,31.13,97.98,3.67,,3.72,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,
SWE,45.15,22.17,6.09,,,,,,,,,,,97.67,,,3.45,,,,,,,,,,,,,,,,
FIN,31.74,10.78,,1.4,,,,,,,,,,25.47,,,,,97.9,,,,,,,,,,,,,,
CYP,27.08,,4.2,,1.35,,,,,,,,99.33,,,,,,,,,1.39,,,,,,,,,,,
CZE,4.68,7.82,,,,,,,10.29,99.2,,,,,,,,7.86,,,,,,,,,,,,,,,
EST,9.93,10.9,,,,,,,42.5,,,,,,,,,,10.08,,,,,,,86.13,,,,,,,
HUN,2.86,9.83,1.4,,,,,,3.71,,99.72,,,,,,,,,,,,,,,,,,,,,,
LVA,12.76,10.38,,,,3.53,,,61.3,,,,,,,,,,,,,,,88.7,,,,,,,,,
LTU,6.83,7.32,,,,10.77,,,43.36,,,,,,,,,,,,95.02,,,,,,,,,,,,
MLT,55.33,1.11,2.02,,22.69,,,,,,,,,,,,,,,,,,,,,,,,98.14,,,,
POL,5.93,9.58,,,,95.49,,,16.66,1.83,,,,,,,,,,,,,,,,,,,,,,,
SVK,,4.21,,,,,,,9.99,23.23,17.22,,,,,,,91.37,,,,,,,,,,,,,,,
SVN,22.28,28.78,,,6.58,,,,,,,,,,,,,,,,,,96.97,,42.11,,,,,,,,
BGR,2.73,3.77,,,,,,,10.45,,,,,,98.34,,,,,,,4.45,,,,,,,,,,,
ROU,2.78,,6.17,,,,,93.04,1.9,,11.44,,,,,,,,,,,,,,,,,,,,,,
